province_id,province_name,protected_share,mean_seismic_hazard,max_seismic_hazard,water_density_km_per_km2,dist_airport_km,road_density_km_per_km2,power_availability_mw,renewable_availability_mw,mean_ruggedness,mean_tavg,mean_srad,broadband_ftth,broadband_100,broadband_5g,crime_per_100k
ES111,A Coruña,0.06407413950287995,0.04044840204868161,0.043530136,0.3425434798329318,211.42773149684265,0.15399862466116562,6649.256,1568.745,131746.96875,12.994376182556152,13019.1884765625,0.7983263122615547,0.838292537148747,0.6795944301582975,3782.174409029709
ES112,Lugo,0.15741468748120446,0.04010233389420969,0.04441773,0.2761693303507973,222.16246466747938,0.10433408658336152,6628.443183001953,1559.6536073870777,188611.3125,11.822626113891602,13100.8017578125,0.6289431217372877,0.6587862037740623,0.4683593874168981,2882.92226422529
ES113,Ourense,0.24518551864338367,0.04218541436402331,0.04598794,0.20993787258123667,139.5526744901008,0.10936581507836589,6576.513424537282,1557.1862818940572,220489.171875,11.368520736694336,14073.7802734375,0.7533773300637502,0.770933102959143,0.5293542728610597,3095.7190009360065
ES114,Pontevedra,0.061905869043637596,0.04393865040254883,0.045336187,0.2962627585111792,135.2320196384968,0.14578754062332897,6638.252786821475,1566.3969462047012,181222.921875,12.805879592895508,13646.6396484375,0.8061756754677598,0.8335028086717565,0.6303095228802854,3563.9220649107547
ES120,Asturias,0.23759032581763811,0.031134938417365827,0.038877,0.22105706531927097,249.87131159738772,0.1162482903525933,3868.647119148805,376.03507651084766,375769.03125,11.184520721435547,12792.2353515625,0.7652778697676041,0.8282543960270817,0.613058880229893,3401.019354250382
ES130,Cantabria,0.47377578070846504,0.026046625449840953,0.02762155,0.1771560416031823,91.89402870562432,0.12397330368408424,727.8128647965096,101.06429669092412,307193.40625,11.509541511535645,12989.259765625,0.9320276071588822,0.9385749765901377,0.46953774474747867,4193.76010717838
ES211,Araba/Álava,0.11218907910559395,0.035234073902663435,0.046695616,0.2730812108217314,54.09082386836408,0.12944504503938944,2612.899063062337,157.27929570068005,187941.203125,10.921343803405762,13303.966796875,0.9510358085742295,0.9633008342506599,0.803973410363314,4786.117956057901
ES212,Gipuzkoa,0.14051715306788073,0.03900162604417809,0.04758014,0.30456586604852315,59.72162787715779,0.19146345900311096,2359.6130483675115,67.78131366165903,308364.625,12.287199974060059,12747.341796875,0.8890500486057356,0.9422201114501022,0.4222574565563339,4578.729489894604
ES213,Bizkaia,0.15623432995221412,0.029644759188508073,0.034353033,0.2820076561547002,8.08201157643371,0.14282013777594518,2379.7740753343674,71.76489562845984,258647.5625,12.85641860961914,12578.9765625,0.9371408005405013,0.9616787568170215,0.7829134753226651,5052.356359776854
ES220,Navarra,0.08610895429390733,0.0527062031974997,0.08638958,0.1696655004818027,123.9500044876928,0.10971925007795992,1734.8536127926066,423.8480955140801,193015.765625,11.798185348510742,13806.8740234375,0.8696412449127872,0.8879231131391334,0.566549421806681,5290.12981995095
ES230,La Rioja,0.41925900821757184,0.03414322956125206,0.041666597,0.17785730148002116,118.60539248569151,0.12006960380747068,1177.0154675210822,246.70686392701683,206885.640625,10.783578872680664,14182.802734375,0.9470211870913313,0.9474202492371777,0.6300231180355597,3684.7741883713106
