province_id,province_name,protected_share,mean_seismic_hazard,max_seismic_hazard,water_density_km_per_km2,dist_airport_km,road_density_km_per_km2,power_availability_mw,renewable_availability_mw
ES111,A Coruña,0.06407413950287995,0.04044840204868161,0.043530136,0.3425434798329318,211.42773149684265,0.15399862466116562,6649.256,1568.745
ES112,Lugo,0.15741468748120446,0.04010233389420969,0.04441773,0.2761693303507973,222.16246466747938,0.10433408658336152,6628.443183001953,1559.6536073870777
ES113,Ourense,0.24518551864338367,0.04218541436402331,0.04598794,0.20993787258123667,139.5526744901008,0.10936581507836589,6576.513424537282,1557.1862818940572
ES114,Pontevedra,0.061905869043637596,0.04393865040254883,0.045336187,0.2962627585111792,135.2320196384968,0.14578754062332897,6638.252786821475,1566.3969462047012
ES120,Asturias,0.23759032581763811,0.031134938417365827,0.038877,0.22105706531927097,249.87131159738772,0.1162482903525933,3868.647119148805,376.03507651084766
ES130,Cantabria,0.47377578070846504,0.026046625449840953,0.02762155,0.1771560416031823,91.89402870562432,0.12397330368408424,727.8128647965096,101.06429669092412
ES211,Araba/Álava,0.11218907910559395,0.035234073902663435,0.046695616,0.2730812108217314,54.09082386836408,0.12944504503938944,2612.899063062337,157.27929570068005
ES212,Gipuzkoa,0.14051715306788073,0.03900162604417809,0.04758014,0.30456586604852315,59.72162787715779,0.19146345900311096,2359.6130483675115,67.78131366165903
ES213,Bizkaia,0.15623432995221412,0.029644759188508073,0.034353033,0.2820076561547002,8.08201157643371,0.14282013777594518,2379.7740753343674,71.76489562845984
ES220,Navarra,0.08610895429390733,0.0527062031974997,0.08638958,0.1696655004818027,123.9500044876928,0.10971925007795992,1734.8536127926066,423.8480955140801
ES230,La Rioja,0.41925900821757184,0.03414322956125206,0.041666597,0.17785730148002116,118.60539248569151,0.12006960380747068,1177.0154675210822,246.70686392701683
ES241,Huesca,0.0879074110356769,0.045717485739211236,0.09260732,0.1603063437537173,197.78352015373108,0.09489039324847971,5838.087061877543,1612.9420756338282
ES242,Teruel,0.01072706648395956,0.029163151922152093,0.03450881,0.11790673125477882,133.02531766937668,0.10401243608362827,5895.374564571725,1638.387645038635
ES243,Zaragoza,0.017483253114577012,0.031848110510835866,0.07002128,0.11306010342415151,241.00115406116373,0.10028384007116374,5837.11948587637,1623.3641242106487
ES300,Madrid,0.15628662077137556,0.011018499971304708,0.01735047,0.1307111420515207,12.455632300626041,0.12477668166777181,313.8954531815564,100.37938592690901
ES411,Ávila,0.12023502458884408,0.010813879630409699,0.020644693,0.20076844552359313,116.78279239469299,0.12029580902380078,8171.060078491749,2195.164208534638
ES412,Burgos,0.10073672321918331,0.02415691634779054,0.03737209,0.17917412288037232,117.78227781670861,0.10765994758993172,8116.538810421637,2157.698046772232
ES413,León,0.13712423738697505,0.02985814987660473,0.039921086,0.199186122317963,250.87410169035292,0.10835625289864842,8223.89743800993,2187.2788627392483
ES414,Palencia,0.10010927123130621,0.020107473591967098,0.027861292,0.16992191084457853,169.34505744489147,0.10558807780700911,8262.112446987325,2205.05214136311
ES415,Salamanca,0.08657053307475863,0.02661727603568995,0.040798593,0.17850018330828707,214.31853522111498,0.10592665614597091,8228.040433978813,2198.790259773194
ES416,Segovia,0.12852947390835853,0.010653166957894405,0.01694741,0.15393539964108327,87.775193312956,0.1121436370671833,8208.684256218588,2194.8489856567935
ES417,Soria,0.03486382303088391,0.029964138506599004,0.036658417,0.15567921945413993,152.50783089714872,0.09834500423504597,8145.6855992868905,2182.4108195145054
ES418,Valladolid,0.01065579788959638,0.014884612759394813,0.024551913,0.12473417000605368,167.86958950245716,0.11451160062405903,8289.306,2212.614
ES419,Zamora,0.09454482505092836,0.028630432543631842,0.038677834,0.13279582515398347,231.49891560651835,0.09359916321527209,8199.299332894796,2188.8298625890184
ES421,Albacete,0.027479199806747817,0.07102535422946729,0.13686411,0.10097823881635005,137.83043036284874,0.0900782990857407,6266.248872821555,3425.0190192414943
ES422,Ciudad Real,0.10550439676208134,0.026304030143335867,0.07052206,0.11467390544565806,172.26073268794153,0.08416421944291115,6292.762697076665,3461.624072081134
ES423,Cuenca,0.063991865101301,0.02553729326407749,0.03630883,0.12793198353606447,133.05924495718426,0.09303486928767689,6261.772108842089,3450.5984534500412
ES424,Guadalajara,0.19097821210498306,0.020901327470053195,0.034377374,0.14958377073937723,88.60167039151986,0.10610134555439926,6261.035237383697,3435.77646286052
ES425,Toledo,0.009624347593430851,0.015061116499514233,0.0311537,0.10258864553043236,89.59866353188147,0.09182290247471107,6224.661094181528,3432.4766494460714
ES431,Badajoz,0.3391040232250658,0.03141938545959911,0.058389194,0.14696717737318404,260.57126520948015,0.10025735593695789,4664.847162223182,1388.1355324694048
ES432,Cáceres,0.4896280108800795,0.03123608536384173,0.05618635,0.17392091450742084,236.51274794289643,0.0991105802197161,4596.402502703732,1370.8061123489222
ES511,Barcelona,0.30541537741736197,0.03525489478744112,0.049442332,0.2546400319761921,48.400496527693456,0.10462514679229512,7975.905,393.181
ES512,Girona,0.44344123023675847,0.04140669952064234,0.056991957,0.22141428198039442,104.5403265790386,0.12174011011844361,7880.357986511148,390.2174536438458
