province_id,province_name,mean_seismic_hazard,water_density_km_per_km2,road_density_km_per_km2,power_availability_mw,renewable_availability_mw,mean_tavg,mean_srad,broadband_ftth,broadband_100,broadband_5g,crime_per_100k,inverted_protected_share,inverted_seismic_hazard,inverted_dist_airport_km,inverted_ruggedness
ES111,A Coruña,-0.20580158335962792,2.7296245750770334,2.104009516817885,-0.1239286848650591,-0.15674915025974448,-0.012861618763658787,-1.6149173334102305,-0.6009842894381182,-0.260090133767283,1.1209726597661365,-0.5388985062174018,0.8513116299972484,0.5112741409923321,-1.1350912765315189,0.5416538118762748
ES112,Lugo,-0.21504858214943862,1.6701541135168287,-0.2880444593642379,-0.1301466611603946,-0.16463932190611533,-0.5900878082788923,-1.5575066587921635,-2.5297288721383597,-2.3499390855955413,-0.4423785440965165,-1.5441778771767167,0.34341536407911033,0.4969104064484166,-1.2899786148296855,-0.07543450810537909
ES113,Ourense,-0.1593883246697005,0.6129613105897055,-0.04569515703732769,-0.14566104382114245,-0.16678064639580115,-0.8137886840268209,-0.8730671641980581,-1.112812562619007,-1.044302257598347,0.009044791497157142,-1.3062911277719986,-0.1341742619658766,0.4715000503416816,-0.09803370902209577,-0.42137105443772227
ES114,Pontevedra,-0.11254156539120849,1.990887317233988,1.708529019431546,-0.12721597263216022,-0.15878696209656765,-0.10571859491936422,-1.173538252511674,-0.511604601201311,-0.3158531191115767,0.756214908753839,-0.7828841118942358,0.8631098944557507,0.4820472229005322,-0.03569264110430717,0.004743847213272622
ES120,Asturias,-0.45465888448616365,0.7904469183791197,0.28579392919759566,-0.9546552563500378,-1.1918695571469433,-0.9044305628018938,-1.774566986179564,-0.9773026491856014,-0.37695619808395703,0.6285428492087212,-0.9649940300594506,-0.09284634865621613,0.5865747968110244,-1.689778915411378,-2.106458426059877
ES130,Cantabria,-0.5906194553878079,0.08969461914296536,0.6578632078185763,-1.8930017061829771,-1.4305091960766165,-0.7443191899077317,-1.6359706161487062,0.9214551417419367,0.9074182600224984,-0.4336575178527848,-0.07878438347517987,-1.378008190978851,0.76871921866641435,0.5896145701772706,-1.3622800106896673
ES211,Araba/Álava,-0.3451293008419896,1.6208612570608198,0.9214053884604925,-1.3298188705014466,-1.3817217319144042,-1.034076477596532,-1.414590680256084,1.137899083984681,1.1952816837995255,2.0415018764869206,0.5834160117587194,0.5895026017840219,0.4600478884218173,1.13506248055475,-0.06816252286554757
ES212,Gipuzkoa,-0.24445967943086508,2.1234223062863387,3.908474219867375,-1.4054898589822555,-1.4593945891274995,-0.3612299603258306,-1.8061472537675978,0.4320752157853035,0.9498556555347163,-0.7835790768106387,0.35157520046524127,0.4353603420938452,0.4457338349990562,1.0538177740923373,-1.3749900036853837
ES213,Bizkaia,-0.4944767219490637,1.7633460230548144,1.5656063616410203,-1.3994666095691037,-1.455937347005894,-0.08082212183575076,-1.9245833898921663,0.9796784164634247,1.1763971310333692,1.8856372321940962,0.8810455215265409,0.3498380731204347,0.6597851396856197,1.7989059465152906,-0.8354635350879529
ES220,Navarra,0.12172890716419237,-0.02987010780453113,-0.028672234267435447,-1.59214115952732,-1.1503739422363648,-0.6021277903936005,-1.0608217506769397,0.2110696669843821,0.31771904578765553,0.2843262037445352,1.1468539000282367,0.7314130393530256,-0.1823106244700402,0.12709121850083793,-0.1232313593500432
